game,number,as of,free,date,publisher
Street Fighter II,25?million US players,1994,Pay-to-play,6-Feb-91,Capcom
Call of Duty: WWII,24.9?million[o],Dec-18,Pay-to-play,3-Nov-17,Activision
Forza Horizon 4,24 million,Nov-20,Pay-to-play,2-Oct-18,Microsoft Studios
Left 4 Dead 2,23?million owners on Steam[l],Jul-18,Pay-to-play,17-Nov-09,Valve
Sudden Attack,23?million registered accounts,Aug-20,Free-to-play,11-Apr-05,Nexon
Nexus: The Kingdom of the Winds,21?million registered accounts,Aug-20,Free-to-play,5-Apr-96,Nexon
Final Fantasy XIV,20?million,Jul-20,Subscription,27-Aug-13,Square Enix
Forza Horizon 5,20?million,Jun-22,Pay-to-play,9-Nov-21,Xbox Game Studios
Mabinogi,20?million registered accounts,Aug-20,Free-to-play,22-Jun-04,Nexon
DC Universe Online,20?million,May-15,Free-to-play,11-Jan-11,Daybreak Game Company
Shadowverse,20?million[a],Oct-18,Free-to-play,17-Jun-16,Cygames/NetEase
