名次,遊戲名,發行日,銷售量(萬),類型,中文,發行量
1,马力欧卡丁车8 豪华版,2017年4月28日,4682,竞速,是,任天堂情報開發本部
2,任天堂明星大亂鬥 特別版,2018年12月7日,2882,動作、格鬥,是,Sora
3,塞尔达传说 旷野之息,2017年3月3日,2714,动作冒险、动作角色扮演,是,任天堂企劃製作本部
4,宝可梦 劍／盾,2019年11月15日,2450,角色扮演,是,GAME FREAK
5,超级马力欧 奥德赛,2017年10月27日,2393,平台、动作冒险,是,1-UP工作室
6,超级马力欧派对,2018年10月5日,1806,聚会,是,NDcube
7,精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布,2018年11月16日,1466,角色扮演,是,GAME FREAK
8,健身環大冒險,2019年10月18日,1454,體育(健身)、角色扮演,是,任天堂企劃製作本部
9,新超級瑪利歐兄弟U 豪華版,2019年1月11日,1331,平台,是,任天堂情報開發本部
10,Splatoon 2,2017年7月21日,1330,第三人称射击,否,任天堂企劃製作本部
11,路易吉洋馆3,2019年10月31日,1143,动作冒险,是,Next Level Games
12,超級瑪利歐創作家2,2019年6月28日,789,关卡编辑器、平台,是,任天堂企劃製作本部
13,薩爾達傳說 織夢島,2019年9月20日,608,動作冒險,是,Grezzo
14,瑪利歐網球 王牌高手,2018年6月22日,428,體育,是,Camelot Software Planning
15,森喜剛 熱帶急凍,2018年5月3日,412,平台,否,Retro Studios
16,星之卡比 新星同盟,2018年3月16日,398,平台,是,HAL研究所
17,火焰之紋章 風花雪月,2019年7月26日,382,戰略角色扮演,是,Intelligent Systems
18,1-2-Switch,2017年3月3日,363,聚会,否,任天堂企劃製作本部
19,我的世界,2017年5月11日,320,沙盒,是,4J Studios
20,,,,,,Mojang
21,耀西的手工世界,2019年3月29日,301,平台,是,Good-Feel（日语：）
22,ARMS,2017年6月16日,266,格斗,是,任天堂企劃製作本部
23,异度神剑2,2017年12月1日,244,角色扮演,是,Monolith Soft
24,前進！奇諾比奧隊長,2018年7月13日,213,平台、益智解謎,否,任天堂情報開發本部
25,马力欧+疯狂兔子 王国之战,2017年8月29日,200,战略角色扮演,是,育碧米蘭
26,歧路旅人,2018年7月13日,190,角色扮演,是,Acquire
27,寶可拳DX,2017年9月22日,180,格鬥,否,萬代南夢宮工作室
28,漫威英雄：終極聯盟3,2019年7月19日,150,清版動作、動作角色扮演,是,Team NINJA
29,任天堂LABO-01組合套裝,2018年4月20日,142,交互式模型套件,是,任天堂企劃製作本部
30,異界鎖鏈,2019年8月30日,128,動作,是,白金工作室
31,大人的Nintendo Switch脑部锻炼,2019年12月27日,120,益智,是,任天堂企划制作本部 
32,猎天使魔女2,2018年2月16日,104,動作,否,白金工作室
33,火焰之纹章无双,2017年9月28日,100,砍殺,是,Team NINJA
34,挺進地牢,2017年12月14日,100,彈幕射擊,是,Dodge Roll
35,太鼓之達人 任天堂Switch版！,2018年7月19日,100,音樂,是,萬代南夢宮工作室
36,健身拳击,2018年12月20日,100,體育(健身)、節奏,是,imagineer（日语：）
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
